tick,phase,value,route,app,button_queue,miniapp_queue,present_sequence,framebuffer_crc,js_used,host_used,core_free,cpu_frequency_hz
3097,wait-list,0,-1,-1,0,0,1,00000000,0,0,43915092,216000000
3201,open-miniapps-list,0,55,-1,0,0,1,00000000,0,0,43915092,216000000
3209,lv-timer-duration,7,-2,-2,-1,0,1,00000000,0,0,0,216000000
3209,heartbeat,8,55,-1,0,0,2,00000000,0,0,43915092,216000000
3209,move-to-game,0,55,-1,0,0,2,00000000,0,0,43915092,216000000
3210,list-next-game,8,55,-1,1,0,2,00000000,0,0,43915092,216000000
3210,open-game,0,55,-1,0,0,2,00000000,0,0,43915092,216000000
3211,game2048-first-frame,1,55,-1,1,0,2,00000000,0,0,43915092,216000000
3212,runtime-log-duration,1,-2,-2,-1,0,2,00000000,0,0,0,216000000
3263,ui-batch-execute-duration,1,-2,-2,-1,0,2,00000000,0,0,0,216000000
3281,runtime-log-duration,2,-2,-2,-1,0,2,00000000,0,0,0,216000000
3283,input-dispatch-duration,72,-2,-2,-1,0,2,00000000,0,0,0,216000000
3286,lv-timer-duration,3,-2,-2,-1,0,2,00000000,0,0,0,216000000
3286,ui-heartbeat-gap,75,56,1,0,0,3,00000000,503396,0,35526460,216000000
3288,heartbeat,75,56,1,0,0,3,00000000,503396,0,35526460,216000000
3290,button-release,1,56,1,1,0,3,00000000,503396,0,35526460,216000000
3292,heartbeat,6,56,1,0,0,3,00000000,503396,0,35526460,216000000
3294,action-present,75,56,1,0,0,3,00000000,503396,0,35526460,216000000
3296,enter-game,0,56,1,0,0,3,00000000,503396,0,35526460,216000000
3299,heartbeat,7,56,1,0,0,3,00000000,503396,0,35526460,216000000
3300,game2048-enter-game,1,56,1,1,0,3,00000000,503396,0,35526460,216000000
3334,js-input-dispatch-duration,32,-2,-2,-1,0,3,00000000,0,0,0,216000000
3357,js-host-service-duration,23,-2,-2,-1,0,3,00000000,0,0,0,216000000
3357,input-dispatch-duration,55,-2,-2,-1,0,3,00000000,0,0,0,216000000
3357,ui-heartbeat-gap,58,56,1,0,0,3,00000000,666420,0,35526460,216000000
3360,heartbeat,58,56,1,0,0,3,00000000,666420,0,35526460,216000000
3363,button-release,1,56,1,1,0,3,00000000,666420,0,35526460,216000000
3366,heartbeat,9,56,1,0,0,3,00000000,666420,0,35526460,216000000
3371,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
3376,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
3381,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
3386,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
3391,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
3396,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
3401,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
3406,heartbeat,1,56,1,0,0,3,00000000,666420,0,35526460,216000000
