tick,present_sequence,framebuffer_crc
3095,1,00000000
3207,2,00000000
3210,3,00000000
3288,4,00000000
4014,5,00000000
4051,6,00000000
4088,7,00000000
4138,8,00000000
4179,9,00000000
4222,10,00000000
4268,11,00000000
4316,12,00000000
4365,13,00000000
4420,14,00000000
4462,15,00000000
4508,16,00000000
4559,17,00000000
4610,18,00000000
4664,19,00000000
4691,20,00000000
4731,21,00000000
4749,22,00000000
4798,23,00000000
4859,24,00000000
4921,25,00000000
5000,26,00000000
5065,27,00000000
5131,28,00000000
5198,29,00000000
5231,30,00000000
5283,31,00000000
5304,32,00000000
5400,33,00000000
5437,34,00000000
5513,35,00000000
