tick,phase,value,route,app,button_queue,miniapp_queue,present_sequence,framebuffer_crc,js_used,host_used,core_free,cpu_frequency_hz
3095,wait-list,0,-1,-1,0,0,1,00000000,0,0,43915092,216000000
3199,open-miniapps-list,0,55,-1,0,0,1,00000000,0,0,43915092,216000000
3207,lv-timer-duration,7,-2,-2,-1,0,1,00000000,0,0,0,216000000
3207,heartbeat,8,55,-1,0,0,2,00000000,0,0,43915092,216000000
3207,move-to-game,0,55,-1,0,0,2,00000000,0,0,43915092,216000000
3208,list-next-game,8,55,-1,1,0,2,00000000,0,0,43915092,216000000
3208,open-game,0,55,-1,0,0,2,00000000,0,0,43915092,216000000
3210,lv-timer-duration,1,-2,-2,-1,0,2,00000000,0,0,0,216000000
3210,game2048-first-frame,1,55,-1,1,0,3,00000000,0,0,43915092,216000000
3282,runtime-log-duration,2,-2,-2,-1,0,3,00000000,0,0,0,216000000
3284,input-dispatch-duration,74,-2,-2,-1,0,3,00000000,0,0,0,216000000
3287,lv-timer-duration,3,-2,-2,-1,0,3,00000000,0,0,0,216000000
3288,present-duration,1,-2,-2,-1,0,4,00000000,0,0,0,216000000
3288,ui-heartbeat-gap,78,56,1,0,0,4,00000000,503752,0,35526460,216000000
3289,heartbeat,78,56,1,0,0,4,00000000,503752,0,35526460,216000000
3291,button-release,1,56,1,1,0,4,00000000,503752,0,35526460,216000000
3293,heartbeat,5,56,1,0,0,4,00000000,503752,0,35526460,216000000
3295,action-present,78,56,1,0,0,4,00000000,503752,0,35526460,216000000
3297,enter-game,0,56,1,0,0,4,00000000,503752,0,35526460,216000000
3300,heartbeat,7,56,1,0,0,4,00000000,503752,0,35526460,216000000
3301,game2048-enter-game,1,56,1,1,0,4,00000000,503752,0,35526460,216000000
3335,js-input-dispatch-duration,32,-2,-2,-1,0,4,00000000,0,0,0,216000000
3356,js-host-service-duration,21,-2,-2,-1,0,4,00000000,0,0,0,216000000
3356,input-dispatch-duration,53,-2,-2,-1,0,4,00000000,0,0,0,216000000
3356,ui-heartbeat-gap,56,56,1,0,0,4,00000000,662832,0,35526460,216000000
3359,heartbeat,56,56,1,0,0,4,00000000,662832,0,35526460,216000000
3362,button-release,1,56,1,1,0,4,00000000,662832,0,35526460,216000000
3365,heartbeat,9,56,1,0,0,4,00000000,662832,0,35526460,216000000
3370,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3375,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3380,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3385,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3390,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3395,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3400,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3405,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3410,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3415,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3420,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3425,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3430,heartbeat,1,56,1,0,0,4,00000000,662832,0,35526460,216000000
3435,heartbeat,1,56,1,0,0,4,00000000,662988,0,35526460,216000000
3440,heartbeat,1,56,1,0,0,4,00000000,662988,0,35526460,216000000
3445,heartbeat,1,56,1,0,0,4,00000000,662988,0,35526460,216000000
3450,heartbeat,1,56,1,0,0,4,00000000,662988,0,35526460,216000000
