tick,phase,value,route,app,button_queue,miniapp_queue,present_sequence,framebuffer_crc,js_used,host_used,core_free
3092,wait-list,0,-1,-1,0,0,1,00000000,0,0,43933748
3196,open-miniapps-list,0,55,-1,0,0,1,00000000,0,0,43933748
3204,heartbeat,8,55,-1,0,0,2,00000000,0,0,43933748
3204,move-to-game,0,55,-1,0,0,2,00000000,0,0,43933748
3205,list-next-game,8,55,-1,1,0,2,00000000,0,0,43933748
3205,open-game,0,55,-1,0,0,2,00000000,0,0,43933748
3207,game2048-first-frame,1,55,-1,1,0,3,00000000,0,0,43933748
3280,ui-heartbeat-gap,73,56,1,0,0,4,00000000,502428,0,35545116
3282,heartbeat,73,56,1,0,0,4,00000000,502428,0,35545116
3284,button-release,1,56,1,1,0,4,00000000,502428,0,35545116
3286,heartbeat,6,56,1,0,0,4,00000000,502428,0,35545116
3288,action-present,73,56,1,0,0,4,00000000,502428,0,35545116
3290,enter-game,0,56,1,0,0,4,00000000,502428,0,35545116
3293,heartbeat,7,56,1,0,0,4,00000000,502428,0,35545116
3294,game2048-enter-game,1,56,1,1,0,4,00000000,502428,0,35545116
3347,ui-heartbeat-gap,54,56,1,0,0,4,00000000,658696,0,35545116
3350,heartbeat,54,56,1,0,0,4,00000000,658696,0,35545116
3353,button-release,1,56,1,1,0,4,00000000,658696,0,35545116
3356,heartbeat,9,56,1,0,0,4,00000000,658696,0,35545116
3361,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3366,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3371,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3376,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3381,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3386,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3391,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3396,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3401,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3406,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3411,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3416,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3421,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3426,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3431,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3436,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3441,heartbeat,1,56,1,0,0,4,00000000,658696,0,35545116
3444,action-timeout,151,56,1,0,0,4,00000000,658696,0,35545116
3446,finish-fail,0,56,1,0,0,4,00000000,658696,0,35545116
