tick,phase,value,route,app,button_queue,miniapp_queue,present_sequence,framebuffer_crc,js_used,host_used,core_free
3022,wait-list,0,-1,-1,0,0,1,00000000,0,0,43932020
3126,open-miniapps-list,0,55,-1,0,0,1,00000000,0,0,43932020
3134,lv-timer-duration,7,-2,-2,-1,0,1,00000000,0,0,0
3134,heartbeat,8,55,-1,0,0,2,00000000,0,0,43932020
3134,move-to-lab,0,55,-1,0,0,2,00000000,0,0,43932020
3135,open-lab,0,55,-1,0,0,2,00000000,0,0,43932020
3137,lv-timer-duration,1,-2,-2,-1,0,2,00000000,0,0,0
3137,capability-lab-first-frame,1,55,-1,1,0,3,00000000,0,0,43932020
3138,runtime-log-duration,1,-2,-2,-1,0,3,00000000,0,0,0
3221,ui-batch-execute-duration,1,-2,-2,-1,0,3,00000000,0,0,0
3223,runtime-log-duration,2,-2,-2,-1,0,3,00000000,0,0,0
3228,input-dispatch-duration,91,-2,-2,-1,0,3,00000000,0,0,0
3233,lv-timer-duration,5,-2,-2,-1,0,3,00000000,0,0,0
3233,ui-heartbeat-gap,96,56,0,0,0,4,00000000,580284,9472,35533880
3236,heartbeat,96,56,0,0,0,4,00000000,580284,9472,35533880
3238,button-release,1,56,0,1,0,4,00000000,580284,9472,35533880
3240,heartbeat,7,56,0,0,0,4,00000000,580284,9472,35533880
3242,action-present,96,56,0,0,0,4,00000000,580284,9472,35533880
3245,lab-wheel,0,56,0,0,0,4,00000000,580284,9472,35533880
3248,heartbeat,8,56,0,0,0,5,00000000,580284,9472,35533880
3250,capability-lab-wheel-frame,16,56,0,1,0,5,00000000,580284,9472,35533880
3261,input-dispatch-duration,9,-2,-2,-1,0,5,00000000,0,0,0
3277,js-host-service-duration,16,-2,-2,-1,0,5,00000000,0,0,0
3277,miniapp-service-duration,16,-2,-2,-1,0,5,00000000,0,0,0
3277,runtime-services-duration,16,-2,-2,-1,0,5,00000000,0,0,0
3279,lv-timer-duration,2,-2,-2,-1,0,5,00000000,0,0,0
3279,ui-heartbeat-gap,31,56,0,0,0,6,00000000,581748,9472,35533880
3281,heartbeat,31,56,0,0,0,6,00000000,581748,9472,35533880
3284,action-present,31,56,0,0,0,6,00000000,581748,9472,35533880
3286,lab-select,0,56,0,0,0,6,00000000,581748,9472,35533880
3289,heartbeat,10,56,0,0,0,7,00000000,581748,9472,35533880
3291,capability-lab-page-frame,1,56,0,1,0,7,00000000,581748,9472,35533880
3299,js-input-dispatch-duration,6,-2,-2,-1,0,7,00000000,0,0,0
3310,ui-batch-execute-duration,3,-2,-2,-1,0,7,00000000,0,0,0
3310,js-host-service-duration,11,-2,-2,-1,0,7,00000000,0,0,0
3310,input-dispatch-duration,17,-2,-2,-1,0,7,00000000,0,0,0
3313,lv-timer-duration,3,-2,-2,-1,0,7,00000000,0,0,0
