tick,present_sequence,framebuffer_crc
3023,1,00000000
3134,2,00000000
3210,3,00000000
4124,4,00000000
4153,5,00000000
4193,6,00000000
4224,7,00000000
4260,8,00000000
4295,9,00000000
4333,10,00000000
4375,11,00000000
4420,12,00000000
4467,13,00000000
4514,14,00000000
4563,15,00000000
4616,16,00000000
4671,17,00000000
4697,18,00000000
4736,19,00000000
4752,20,00000000
4799,21,00000000
4856,22,00000000
4915,23,00000000
4992,24,00000000
5056,25,00000000
5132,26,00000000
5199,27,00000000
5230,28,00000000
5249,29,00000000
5530,30,00000000
