tick,phase,value,route,app,button_queue,miniapp_queue,present_sequence,framebuffer_crc,js_used,host_used,core_free
3023,wait-list,0,-1,-1,0,0,1,00000000,0,0,43932020
3126,open-miniapps-list,0,55,-1,0,0,1,00000000,0,0,43932020
3134,lv-timer-duration,7,-2,-2,-1,0,1,00000000,0,0,0
3134,heartbeat,8,55,-1,0,0,2,00000000,0,0,43932020
3134,move-to-game,0,55,-1,0,0,2,00000000,0,0,43932020
3135,list-next-game,8,55,-1,1,0,2,00000000,0,0,43932020
3135,open-game,0,55,-1,0,0,2,00000000,0,0,43932020
3136,game2048-first-frame,1,55,-1,1,0,2,00000000,0,0,43932020
3137,runtime-log-duration,1,-2,-2,-1,0,2,00000000,0,0,0
3205,runtime-log-duration,2,-2,-2,-1,0,2,00000000,0,0,0
3206,input-dispatch-duration,70,-2,-2,-1,0,2,00000000,0,0,0
3210,lv-timer-duration,3,-2,-2,-1,0,2,00000000,0,0,0
3210,ui-heartbeat-gap,74,56,1,0,0,3,00000000,503044,0,35543388
3212,heartbeat,74,56,1,0,0,3,00000000,503044,0,35543388
3214,button-release,1,56,1,1,0,3,00000000,503044,0,35543388
3216,heartbeat,6,56,1,0,0,3,00000000,503044,0,35543388
3218,action-present,74,56,1,0,0,3,00000000,503044,0,35543388
3220,enter-game,0,56,1,0,0,3,00000000,503044,0,35543388
3222,heartbeat,6,56,1,0,0,3,00000000,503044,0,35543388
3223,game2048-enter-game,1,56,1,1,0,3,00000000,503044,0,35543388
3257,js-input-dispatch-duration,32,-2,-2,-1,0,3,00000000,0,0,0
3282,js-host-service-duration,25,-2,-2,-1,0,3,00000000,0,0,0
3282,input-dispatch-duration,57,-2,-2,-1,0,3,00000000,0,0,0
3282,ui-heartbeat-gap,60,56,1,0,0,3,00000000,670248,0,35543388
3285,heartbeat,60,56,1,0,0,3,00000000,670248,0,35543388
3288,button-release,1,56,1,1,0,3,00000000,670248,0,35543388
3291,heartbeat,9,56,1,0,0,3,00000000,670248,0,35543388
3296,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3301,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3306,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3311,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3316,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3321,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3326,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3331,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3336,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3341,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3346,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3351,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3356,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3361,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3366,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3371,heartbeat,1,56,1,0,0,3,00000000,670248,0,35543388
3374,action-timeout,152,56,1,0,0,3,00000000,670248,0,35543388
3376,game2048-enter-game,152,56,1,0,0,3,00000000,670248,0,35543388
3379,open-pause,0,56,1,0,0,3,00000000,670248,0,35543388
3383,heartbeat,9,56,1,0,0,3,00000000,670368,0,35543388
3386,game2048-open-pause,1,56,1,1,0,3,00000000,670368,0,35543388
3411,js-input-dispatch-duration,22,-2,-2,-1,0,3,00000000,0,0,0
3411,input-dispatch-duration,22,-2,-2,-1,0,3,00000000,0,0,0
3411,ui-heartbeat-gap,28,56,1,0,0,3,00000000,643204,0,35543388
3413,heartbeat,28,56,1,0,0,3,00000000,643204,0,35543388
3415,button-release,1,56,1,1,0,3,00000000,643204,0,35543388
3418,heartbeat,7,56,1,0,0,3,00000000,643204,0,35543388
3423,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3428,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3433,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3438,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3443,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3448,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3453,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3458,heartbeat,1,56,1,0,0,3,00000000,643204,0,35543388
3460,action-timeout,75,56,1,0,0,3,00000000,643204,0,35543388
3462,game2048-open-pause,75,56,1,0,0,3,00000000,643204,0,35543388
3465,select-restart,0,56,1,0,0,3,00000000,643204,0,35543388
3468,heartbeat,10,56,1,0,0,3,00000000,643204,0,35543388
3470,game2048-select-restart,16,56,1,1,0,3,00000000,643204,0,35543388
3473,js-input-dispatch-duration,1,-2,-2,-1,0,3,00000000,0,0,0
3473,miniapp-service-duration,1,-2,-2,-1,0,3,00000000,0,0,0
3473,runtime-services-duration,1,-2,-2,-1,0,3,00000000,0,0,0
3473,heartbeat,5,56,1,0,0,3,00000000,643224,0,35543388
3478,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3483,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3488,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3493,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3498,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3503,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3508,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3513,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3518,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
3523,heartbeat,1,56,1,0,0,3,00000000,643224,0,35543388
