tick,phase,value,route,app,button_queue,miniapp_queue,present_sequence,framebuffer_crc,js_used,host_used,core_free,cpu_frequency_hz
3096,wait-list,0,-1,-1,0,0,1,00000000,0,0,43915092,216000000
3200,open-miniapps-list,0,55,-1,0,0,1,00000000,0,0,43915092,216000000
3208,lv-timer-duration,7,-2,-2,-1,0,1,00000000,0,0,0,216000000
3208,heartbeat,8,55,-1,0,0,2,00000000,0,0,43915092,216000000
3208,move-to-lab,0,55,-1,0,0,2,00000000,0,0,43915092,216000000
3209,open-lab,0,55,-1,0,0,2,00000000,0,0,43915092,216000000
3211,lv-timer-duration,1,-2,-2,-1,0,2,00000000,0,0,0,216000000
3211,capability-lab-first-frame,1,55,-1,1,0,3,00000000,0,0,43915092,216000000
3212,runtime-log-duration,1,-2,-2,-1,0,3,00000000,0,0,0,216000000
3295,ui-batch-execute-duration,1,-2,-2,-1,0,3,00000000,0,0,0,216000000
3297,runtime-log-duration,2,-2,-2,-1,0,3,00000000,0,0,0,216000000
3302,input-dispatch-duration,91,-2,-2,-1,0,3,00000000,0,0,0,216000000
3307,lv-timer-duration,5,-2,-2,-1,0,3,00000000,0,0,0,216000000
3307,ui-heartbeat-gap,96,56,0,0,0,4,00000000,580284,9472,35516952,216000000
3310,heartbeat,96,56,0,0,0,4,00000000,580284,9472,35516952,216000000
3312,button-release,1,56,0,1,0,4,00000000,580284,9472,35516952,216000000
3314,heartbeat,7,56,0,0,0,4,00000000,580284,9472,35516952,216000000
3316,action-present,96,56,0,0,0,4,00000000,580284,9472,35516952,216000000
3318,lab-wheel,0,56,0,0,0,4,00000000,580284,9472,35516952,216000000
3322,heartbeat,8,56,0,0,0,5,00000000,580284,9472,35516952,216000000
3324,capability-lab-wheel-frame,16,56,0,1,0,5,00000000,580284,9472,35516952,216000000
3335,input-dispatch-duration,9,-2,-2,-1,0,5,00000000,0,0,0,216000000
3351,js-host-service-duration,16,-2,-2,-1,0,5,00000000,0,0,0,216000000
3351,miniapp-service-duration,16,-2,-2,-1,0,5,00000000,0,0,0,216000000
3351,runtime-services-duration,16,-2,-2,-1,0,5,00000000,0,0,0,216000000
3353,lv-timer-duration,2,-2,-2,-1,0,5,00000000,0,0,0,216000000
3353,ui-heartbeat-gap,31,56,0,0,0,6,00000000,581748,9472,35516952,216000000
3355,heartbeat,31,56,0,0,0,6,00000000,581748,9472,35516952,216000000
3358,action-present,31,56,0,0,0,6,00000000,581748,9472,35516952,216000000
3360,lab-select,0,56,0,0,0,6,00000000,581748,9472,35516952,216000000
3363,heartbeat,10,56,0,0,0,7,00000000,581748,9472,35516952,216000000
3365,capability-lab-page-frame,1,56,0,1,0,7,00000000,581748,9472,35516952,216000000
3373,js-input-dispatch-duration,6,-2,-2,-1,0,7,00000000,0,0,0,216000000
3384,ui-batch-execute-duration,3,-2,-2,-1,0,7,00000000,0,0,0,216000000
3384,js-host-service-duration,11,-2,-2,-1,0,7,00000000,0,0,0,216000000
3384,input-dispatch-duration,17,-2,-2,-1,0,7,00000000,0,0,0,216000000
3387,lv-timer-duration,3,-2,-2,-1,0,7,00000000,0,0,0,216000000
3387,heartbeat,24,56,0,0,0,8,00000000,550216,0,35526460,216000000
3389,button-release,1,56,0,1,0,8,00000000,550216,0,35526460,216000000
3391,action-present,24,56,0,0,0,8,00000000,550216,0,35526460,216000000
3393,lab-back,0,56,0,0,0,8,00000000,550216,0,35526460,216000000
3395,heartbeat,4,56,0,0,0,8,00000000,550216,0,35526460,216000000
3396,capability-lab-back-frame,2,56,0,1,0,8,00000000,550216,0,35526460,216000000
